invoice_id,case_type,expected_outcome
INV0001,clean,auto_match
INV0002,clean,auto_match
INV0003,duplicate_candidate,duplicate_candidate
INV0004,clean,auto_match
INV0005,clean,auto_match
INV0006,clean,auto_match
INV0007,duplicate_candidate,duplicate_candidate
INV0008,adversarial,auto_match
INV0009,fee_or_date_edge,human_review
INV0010,clean,auto_match
INV0011,clean,auto_match
INV0012,clean,auto_match
INV0013,fee_or_date_edge,human_review
INV0014,missing_payment,exception_missing_payment
INV0015,clean,auto_match
INV0016,adversarial,auto_match
INV0017,clean,auto_match
INV0018,clean,auto_match
INV0019,missing_bank_hit,exception_missing_bank_hit
INV0020,clean,auto_match
INV0021,clean,auto_match
INV0022,clean,auto_match
INV0023,fee_or_date_edge,human_review
INV0024,clean,auto_match
INV0025,fee_or_date_edge,human_review
INV0026,clean,auto_match
INV0027,clean,auto_match
INV0028,clean,auto_match
INV0029,reference_mismatch,human_review
INV0030,clean,auto_match
INV0031,clean,auto_match
INV0032,fee_or_date_edge,human_review
INV0033,clean,auto_match
INV0034,clean,auto_match
INV0035,fee_or_date_edge,human_review
INV0036,clean,auto_match
INV0037,duplicate_candidate,duplicate_candidate
INV0038,clean,auto_match
INV0039,missing_payment,exception_missing_payment
INV0040,reference_mismatch,human_review
INV0041,clean,auto_match
INV0042,clean,auto_match
INV0043,fee_or_date_edge,human_review
INV0044,clean,auto_match
INV0045,clean,auto_match
INV0046,missing_payment,exception_missing_payment
INV0047,clean,auto_match
INV0048,clean,auto_match
INV0049,clean,auto_match
INV0050,clean,auto_match
INV0051,clean,auto_match
INV0052,missing_bank_hit,exception_missing_bank_hit
INV0053,clean,auto_match
INV0054,clean,auto_match
INV0055,fee_or_date_edge,human_review
