invoice_id,invoice_number,date,due_date,amount,currency,customer_name,status
INV0001,INV-2026-1001,2026-08-10,2026-08-25,9468.54,INR,Falcon Hardware,open
INV0002,INV-2026-1002,2026-07-05,2026-07-20,9332.4,INR,Coral Logistics,open
INV0003,INV-2026-1003,2026-07-05,2026-07-20,3559.25,INR,Jupiter Chemicals,open
INV0004,INV-2026-1004,2026-08-03,2026-08-18,4145.5,INR,Indus Electronics,open
INV0005,INV-2026-1005,2026-08-02,2026-08-17,13733.1,INR,Everest Textiles,open
INV0006,INV-2026-1006,2026-07-04,2026-07-19,3992.64,INR,Jupiter Chemicals,open
INV0007,INV-2026-1007,2026-07-20,2026-08-04,6285.39,INR,Falcon Hardware,open
INV0008,INV-2026-1008,2026-07-23,2026-08-07,6641.89,INR,Horizon Motors,open
INV0009,INV-2026-1009,2026-07-30,2026-08-14,4122.19,INR,Bluepeak Retail,open
INV0010,INV-2026-1010,2026-07-04,2026-07-19,2887.24,INR,Acme Traders,open
INV0011,INV-2026-1011,2026-07-21,2026-08-05,1328.9,INR,Jupiter Chemicals,open
INV0012,INV-2026-1012,2026-08-09,2026-08-24,1688.76,INR,Jupiter Chemicals,open
INV0013,INV-2026-1013,2026-07-05,2026-07-20,8295.7,INR,Indus Electronics,open
INV0014,INV-2026-1014,2026-07-07,2026-07-22,14114.49,INR,Coral Logistics,open
INV0015,INV-2026-1015,2026-07-17,2026-08-01,2173.72,INR,Bluepeak Retail,open
INV0016,INV-2026-1016,2026-07-01,2026-07-16,5336.57,INR,Coral Logistics,open
INV0017,INV-2026-1017,2026-07-10,2026-07-25,6731.91,INR,Acme Traders,open
INV0018,INV-2026-1018,2026-07-11,2026-07-26,14654.99,INR,Coral Logistics,open
INV0019,INV-2026-1019,2026-07-13,2026-07-28,12340.51,INR,Horizon Motors,open
INV0020,INV-2026-1020,2026-08-04,2026-08-19,5301.67,INR,Acme Traders,open
INV0021,INV-2026-1021,2026-07-17,2026-08-01,1143.6,INR,Ganges Pharma,open
INV0022,INV-2026-1022,2026-08-02,2026-08-17,4984.63,INR,Ganges Pharma,open
INV0023,INV-2026-1023,2026-08-07,2026-08-22,9296.59,INR,Falcon Hardware,open
INV0024,INV-2026-1024,2026-07-13,2026-07-28,2636.63,INR,Acme Traders,open
INV0025,INV-2026-1025,2026-07-15,2026-07-30,3050.36,INR,Indus Electronics,open
INV0026,INV-2026-1026,2026-08-05,2026-08-20,6965.75,INR,Coral Logistics,open
INV0027,INV-2026-1027,2026-07-09,2026-07-24,2687.04,INR,Ganges Pharma,open
INV0028,INV-2026-1028,2026-07-31,2026-08-15,585.49,INR,Falcon Hardware,open
INV0029,INV-2026-1029,2026-07-11,2026-07-26,12687.33,INR,Coral Logistics,open
INV0030,INV-2026-1030,2026-07-25,2026-08-09,4534.72,INR,Ganges Pharma,open
INV0031,INV-2026-1031,2026-07-16,2026-07-31,2330.2,INR,Bluepeak Retail,open
INV0032,INV-2026-1032,2026-07-26,2026-08-10,14151.32,INR,Delta Foods,open
INV0033,INV-2026-1033,2026-07-05,2026-07-20,7836.43,INR,Falcon Hardware,open
INV0034,INV-2026-1034,2026-07-30,2026-08-14,6815.83,INR,Jupiter Chemicals,open
INV0035,INV-2026-1035,2026-07-17,2026-08-01,5434.91,INR,Jupiter Chemicals,open
INV0036,INV-2026-1036,2026-07-16,2026-07-31,4939.99,INR,Jupiter Chemicals,open
INV0037,INV-2026-1037,2026-07-13,2026-07-28,3637.58,INR,Horizon Motors,open
INV0038,INV-2026-1038,2026-07-08,2026-07-23,12420.68,INR,Ganges Pharma,open
INV0039,INV-2026-1039,2026-07-29,2026-08-13,13673.31,INR,Everest Textiles,open
INV0040,INV-2026-1040,2026-08-07,2026-08-22,14855.45,INR,Everest Textiles,open
INV0041,INV-2026-1041,2026-08-08,2026-08-23,7313.73,INR,Acme Traders,open
INV0042,INV-2026-1042,2026-07-18,2026-08-02,12486.15,INR,Bluepeak Retail,open
INV0043,INV-2026-1043,2026-07-28,2026-08-12,11150.74,INR,Jupiter Chemicals,open
INV0044,INV-2026-1044,2026-07-18,2026-08-02,3131.59,INR,Jupiter Chemicals,open
INV0045,INV-2026-1045,2026-07-30,2026-08-14,1776.87,INR,Everest Textiles,open
INV0046,INV-2026-1046,2026-07-18,2026-08-02,8463.68,INR,Everest Textiles,open
INV0047,INV-2026-1047,2026-07-29,2026-08-13,13272.28,INR,Horizon Motors,open
INV0048,INV-2026-1048,2026-07-19,2026-08-03,7878.64,INR,Everest Textiles,open
INV0049,INV-2026-1049,2026-07-01,2026-07-16,4601.17,INR,Everest Textiles,open
INV0050,INV-2026-1050,2026-07-15,2026-07-30,12912.19,INR,Ganges Pharma,open
INV0051,INV-2026-1051,2026-07-07,2026-07-22,8126.29,INR,Horizon Motors,open
INV0052,INV-2026-1052,2026-07-21,2026-08-05,9588.59,INR,Horizon Motors,open
INV0053,INV-2026-1053,2026-07-20,2026-08-04,13599.65,INR,Acme Traders,open
INV0054,INV-2026-1054,2026-07-15,2026-07-30,7186.67,INR,Everest Textiles,open
INV0055,INV-2026-1055,2026-07-13,2026-07-28,14990.92,INR,Horizon Motors,open
