payment_id,utr,date,amount,payer_vpa,invoice_reference
PAY0001,570220212633,2026-08-10,9468.54,falconhardware@upi,INV-2026-1001
PAY0002,524296237088,2026-07-06,9332.4,corallogistics@upi,INV-2026-1002
PAY0003,836394225258,2026-07-06,3559.25,jupiterchemicals@upi,INV-2026-1003
PAY0004,391478116535,2026-07-06,3559.25,jupiterchemicals@upi,INV-2026-1003
PAY0005,807652614498,2026-08-04,4145.5,induselectronics@upi,INV-2026-1004
PAY0006,851319995413,2026-08-03,13733.1,everesttextiles@upi,INV-2026-1005
PAY0007,904077145284,2026-07-04,3992.64,jupiterchemicals@upi,INV-2026-1006
PAY0008,451235220629,2026-07-21,6285.39,falconhardware@upi,INV-2026-1007
PAY0009,026219547810,2026-07-21,6285.39,falconhardware@upi,INV-2026-1007
PAY0010,806607811511,2026-07-24,6641.89,horizonmotors@upi,INV-2026-1008
PAY0011,485098998142,2026-08-02,4122.19,bluepeakretail@upi,INV-2026-1009
PAY0012,927449957129,2026-07-06,2887.24,acmetraders@upi,INV-2026-1010
PAY0013,495058008495,2026-07-23,1328.9,jupiterchemicals@upi,INV-2026-1011
PAY0014,532632164990,2026-08-11,1688.76,jupiterchemicals@upi,INV-2026-1012
PAY0015,298831876960,2026-07-08,8295.7,induselectronics@upi,INV-2026-1013
PAY0016,712236852906,2026-07-18,2173.72,bluepeakretail@upi,INV-2026-1015
PAY0017,627540089585,2026-07-02,5336.57,corallogistics@upi,INV-2026-1016
PAY0018,387882217846,2026-07-10,6731.91,acmetraders@upi,INV-2026-1017
PAY0019,807398882718,2026-07-12,14654.99,corallogistics@upi,INV-2026-1018
PAY0020,388263207356,2026-07-14,12340.51,horizonmotors@upi,INV-2026-1019
PAY0021,191921473653,2026-08-06,5301.67,acmetraders@upi,INV-2026-1020
PAY0022,095776306338,2026-07-19,1143.6,gangespharma@upi,INV-2026-1021
PAY0023,365163715483,2026-08-02,4984.63,gangespharma@upi,INV-2026-1022
PAY0024,442497105638,2026-08-07,9168.8,falconhardware@upi,INV-2026-1023
PAY0025,248046164260,2026-07-13,2636.63,acmetraders@upi,INV-2026-1024
PAY0026,459114553748,2026-07-18,3050.36,induselectronics@upi,INV-2026-1025
PAY0027,742267562022,2026-08-06,6965.75,corallogistics@upi,INV-2026-1026
PAY0028,670454249568,2026-07-11,2687.04,gangespharma@upi,INV-2026-1027
PAY0029,238857784243,2026-08-02,585.49,falconhardware@upi,INV-2026-1028
PAY0030,959560481234,2026-07-12,12687.33,corallogistics@upi,INV-2026-1029
PAY0031,200593676791,2026-07-25,4534.72,gangespharma@upi,INV-2026-1030
PAY0032,526716718910,2026-07-17,2330.2,bluepeakretail@upi,INV-2026-1031
PAY0033,066178619734,2026-07-29,14151.32,deltafoods@upi,INV-2026-1032
PAY0034,044438411566,2026-07-07,7836.43,falconhardware@upi,INV-2026-1033
PAY0035,288082463081,2026-07-30,6815.83,jupiterchemicals@upi,INV-2026-1034
PAY0036,720907476647,2026-07-18,5386.95,jupiterchemicals@upi,INV-2026-1035
PAY0037,353953432737,2026-07-18,4939.99,jupiterchemicals@upi,INV-2026-1036
PAY0038,257598233710,2026-07-13,3637.58,horizonmotors@upi,INV-2026-1037
PAY0039,561848544109,2026-07-14,3637.58,horizonmotors@upi,INV-2026-1037
PAY0040,456189025456,2026-07-10,12420.68,gangespharma@upi,INV-2026-1038
PAY0041,509076202514,2026-08-08,14855.45,everesttextiles@upi,INV-2026-1040
PAY0042,277469766945,2026-08-10,7313.73,acmetraders@upi,INV-2026-1041
PAY0043,075894434254,2026-07-20,12486.15,bluepeakretail@upi,INV-2026-1042
PAY0044,209859962074,2026-07-31,11150.74,jupiterchemicals@upi,INV-2026-1043
PAY0045,489443114464,2026-07-20,3131.59,jupiterchemicals@upi,INV-2026-1044
PAY0046,394596541376,2026-07-30,1776.87,everesttextiles@upi,INV-2026-1045
PAY0047,196215509941,2026-07-29,13272.28,horizonmotors@upi,INV-2026-1047
PAY0048,444411571078,2026-07-20,7878.64,everesttextiles@upi,INV-2026-1048
PAY0049,856844373989,2026-07-01,4601.17,everesttextiles@upi,INV-2026-1049
PAY0050,077836894055,2026-07-15,12912.19,gangespharma@upi,INV-2026-1050
PAY0051,018907263036,2026-07-09,8126.29,horizonmotors@upi,INV-2026-1051
PAY0052,800699740684,2026-07-22,9588.59,horizonmotors@upi,INV-2026-1052
PAY0053,303424611636,2026-07-21,13599.65,acmetraders@upi,INV-2026-1053
PAY0054,468425099296,2026-07-16,7186.67,everesttextiles@upi,INV-2026-1054
PAY0055,133260830879,2026-07-16,14990.92,horizonmotors@upi,INV-2026-1055
